ID;Market;Survey date;Customer Name;Month;Quarter;NPS;Group;Ano;Ano_txt;Nome do Mês;Body
1002;UK;25/12/2021;Ricky Armstrong;12;4;0;Detractor;2021;2021;Dezembro;$ESI on lows, down $1.50 to $2.50 BK a real possibility
1007;US;28/03/2021;Brandy Kelley;3;1;4;Detractor;2021;2021;Março;Shell's $70 Billion BG Deal Meets Shareholder Skepticism
1010;US;25/02/2021;Carla Fox;2;1;0;Detractor;2021;2021;Fevereiro;SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .
1011;UK;03/04/2021;Vanessa Aguilar DVM;4;2;0;Detractor;2021;2021;Abril;$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5
1017;MEX;16/11/2021;Emily Hernandez;11;4;2;Detractor;2021;2021;Novembro;$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.
1018;MEX;02/01/2021;Rebecca Mccormick;1;1;5;Detractor;2021;2021;Janeiro;$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade
1021;MEX;13/12/2021;Thomas Boyle;12;4;1;Detractor;2021;2021;Dezembro;Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .
1022;US;09/02/2021;Jane Cox;2;1;5;Detractor;2021;2021;Fevereiro;InterContinental Hotels first-quarter global room revenue lags estimates
1025;UK;02/11/2021;Bethany Anderson;11;4;3;Detractor;2021;2021;Novembro;L&G still paying price for dividend cut during crisis, chief says
1036;US;25/09/2021;Steven Elliott;9;3;2;Detractor;2021;2021;Setembro;AstraZeneca profit down as sales of stalwarts fade
1040;MEX;14/03/2021;Stephanie Walker;3;1;1;Detractor;2021;2021;Março;Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .
1042;UK;10/04/2021;Amy Reeves;4;2;2;Detractor;2021;2021;Abril;US sanctions put Gazprom-Shell alliance plans in jeopardy
1047;MEX;14/03/2021;Debbie Gould;3;1;4;Detractor;2021;2021;Março;Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .
1048;MEX;25/08/2021;David Mueller;8;3;6;Detractor;2021;2021;Agosto;Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .
1049;MEX;22/06/2021;William Hernandez;6;2;1;Detractor;2021;2021;Junho;Tesco share price down as grocer faces SFO investigation outcome
1050;UK;14/10/2021;Nicholas Cox;10;4;0;Detractor;2021;2021;Outubro;$TSLA recall
1052;US;14/09/2021;Ashley Gentry;9;3;0;Detractor;2021;2021;Setembro;At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .
1053;MEX;23/12/2021;Tammy Mason;12;4;5;Detractor;2021;2021;Dezembro;$GOOGL is a short below 740 into the upper BB and is overbought
